Record ID,Event Name,Food Category Rank - 1,Food Category Rank - 2,Food Category Rank - 3
1,Pre-Screening,,,
1,Session 0,,,
1,Session 1,,,
1,Intervention,,,
1,Session 2,,,
1,Session 3,,,
1,Session 4,,,
1,Session 5,,,
2,Pre-Screening,,,
2,Session 0,,,
2,Session 1,,,
2,Session 2,,,
2,Session 3,,,
2,Session 4,,,
2,Session 5,,,
4,Pre-Screening,,,
5,Session 0,,,
7,Session 0,Pizza,Cookies,Soft Drinks
10,Session 0,Chocolate,Barbeque,Fast Food
18,Pre-Screening,,,
18,Session 0,,,
18,Session 1,,,
18,Intervention,,,
18,Session 2,,,
18,Session 3,,,
18,Session 4,,,
18,Session 5,,,
19,Pre-Screening,,,
19,Session 0,,,
19,Session 1,,,
20,Pre-Screening,,,
20,Session 0,,,
20,Session 1,,,
20,Intervention,,,
20,Session 2,,,
20,Session 3,,,
20,Session 4,,,
21,Session 0,,,
22,Pre-Screening,,,
22,Session 0,,,
22,Session 1,,,
22,Intervention,,,
22,Session 2,,,
22,Session 3,,,
22,Session 4,,,
22,Session 5,,,
23,Pre-Screening,,,
23,Session 0,,,
23,Session 1,,,
23,Intervention,,,
24,Pre-Screening,,,
24,Session 0,,,
25,Pre-Screening,,,
25,Session 0,,,
26,Pre-Screening,,,
26,Session 0,,,
26,Session 1,,,
26,Intervention,,,
26,Session 2,,,
27,Pre-Screening,,,
27,Session 0,,,
27,Session 1,,,
28,Pre-Screening,,,
28,Session 0,Chocolate,Cookies,Processed Meats
29,Pre-Screening,,,
29,Session 0,,,
29,Session 1,,,
29,Intervention,,,
